2025-12-01 14:49:32,239 INFO    MainThread:32496 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2025-12-01 14:49:32,240 INFO    MainThread:32496 [wandb_setup.py:_flush():80] Configure stats pid to 32496
2025-12-01 14:49:32,240 INFO    MainThread:32496 [wandb_setup.py:_flush():80] Loading settings from C:\Users\Asus\.config\wandb\settings
2025-12-01 14:49:32,240 INFO    MainThread:32496 [wandb_setup.py:_flush():80] Loading settings from F:\Codes\Wd-Pred\wandb\settings
2025-12-01 14:49:32,240 INFO    MainThread:32496 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-12-01 14:49:32,240 INFO    MainThread:32496 [wandb_init.py:setup_run_log_directory():713] Logging user logs to F:\Codes\Wd-Pred\wandb\run-20251201_144932-ac8of682\logs\debug.log
2025-12-01 14:49:32,240 INFO    MainThread:32496 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to F:\Codes\Wd-Pred\wandb\run-20251201_144932-ac8of682\logs\debug-internal.log
2025-12-01 14:49:32,240 INFO    MainThread:32496 [wandb_init.py:init():840] calling init triggers
2025-12-01 14:49:32,240 INFO    MainThread:32496 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'model_type': 'LSTM', 'look_back': 8, 'batch_size': 1024, 'epochs': 15, 'learning_rate': 0.001, 'lstm_units': 64, 'dropout_rate': 0.15, 'embedding_dim': 24, 'seed': 2025, '_wandb': {}}
2025-12-01 14:49:32,240 INFO    MainThread:32496 [wandb_init.py:init():888] starting backend
2025-12-01 14:49:32,717 INFO    MainThread:32496 [wandb_init.py:init():891] sending inform_init request
2025-12-01 14:49:32,818 INFO    MainThread:32496 [wandb_init.py:init():899] backend started and connected
2025-12-01 14:49:32,856 INFO    MainThread:32496 [wandb_init.py:init():969] updated telemetry
2025-12-01 14:49:33,045 INFO    MainThread:32496 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2025-12-01 14:49:33,882 INFO    MainThread:32496 [wandb_init.py:init():1040] starting run threads in backend
2025-12-01 14:49:34,113 INFO    MainThread:32496 [wandb_run.py:_console_start():2504] atexit reg
2025-12-01 14:49:34,113 INFO    MainThread:32496 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2025-12-01 14:49:34,113 INFO    MainThread:32496 [wandb_run.py:_redirect():2421] Wrapping output streams.
2025-12-01 14:49:34,113 INFO    MainThread:32496 [wandb_run.py:_redirect():2444] Redirects installed.
2025-12-01 14:49:34,116 INFO    MainThread:32496 [wandb_init.py:init():1080] run started, returning control to user process
2025-12-01 14:49:52,748 INFO    wandb-AsyncioManager-main:32496 [service_client.py:_forward_responses():80] Reached EOF.
2025-12-01 14:49:52,748 INFO    wandb-AsyncioManager-main:32496 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
